,物資名,理想量,現在の量,TorF,1在庫を消費する客数,前回発注数,前回発注日,前回発注日からの客数,更新日
0,ﾍﾟｰﾊﾟｰﾀｵﾙ ﾚｷﾞｭﾗｰ 200枚入　別単位あり,20,5,TRUE,100,,,100,
1,ﾎﾟﾘ手袋Ｓ　外ｴﾝﾎﾞｽﾀｲﾌﾟ透明　別単位ｱﾘ,1,8,TRUE,100,,,100,
2,ﾎﾟﾘ手袋Ｍ外ｴﾝﾎﾞｽﾀｲﾌﾟ透明　別単位ｱﾘ,1,19,TRUE,100,,,100,
3,ポリ規格袋10号0.03*180*270MM 100枚,10,38,TRUE,100,,,70,
4,ポリ規格袋15号0.03*300*450MM 100枚,10,10,TRUE,100,,,70,
5,WジッパーフリーザーバッグL　10枚入,5,4,TRUE,100,,,70,
6,WジッパーフリーザーバッグM　15枚入,5,3,FALSE,100,,,70,
7,WジッパーフリーザーバッグS　20枚入,5,4,FALSE,100,,,70,
8,カウンタークロス　厚手　グリーン80枚,1,1,FALSE,100,,,70,
9,カウンタークロス　厚手　ホワイト,1,1,FALSE,100,,,70,
10,カウンタークロス　厚手　青,1,1,FALSE,100,,,70,
11,ｸｯｷﾝｸﾞｼｰﾄ 業務用クックパーEG,8,6,FALSE,100,,,70,
12,グリドルパッド高温用　10枚入,2,1,FALSE,100,,,70,
13,おそうじ消しゴム　7×11×H4cm,5,5,FALSE,100,,,70,
14,グリストネット　M　10枚入,5,4,FALSE,100,,,70,
15,ヘアーネット　Mサイズ　100枚入,1,1,FALSE,100,,,70,
16,サーマルロール　80×80×紙管巾12mm,5,4,FALSE,100,,,70,
17,コーヒーフィルター　25cm1000枚入,1,1,FALSE,100,,,70,
18,ランチ旗（アメリカ）　200本入,1,0,FALSE,100,,,70,
19,ニトリル手袋ブルー　Ｓ　粉無　１００枚,10,6,FALSE,100,,,70,
20,ニトリル手袋ブルー　Ｍ　粉無　１００枚,10,7,FALSE,100,,,70,
21,受）救急絆創膏ブルーバンテージ,1,1,FALSE,100,,,70,
22,ドビー織　白ふきん　国産　２０枚／袋,1,1,FALSE,100,,,70,
23,ハイラップＳVC30CMX100M 別単位あり,8,6,FALSE,100,,,70,
24,受）がんこたわし異物混入対策用１０個入,1,0,FALSE,100,,,70,
25,ｸｯｷﾝｸﾞﾍﾟｰﾊﾟｰ 90枚×2R入　別単位あり,,,FALSE,100,,,70,
26,マドラースプーン　黒　５００本,2,1,FALSE,100,,,70,
27,ｸﾞﾗｽ･食器用ﾏｲｸﾛﾌｧｲﾊﾞｰ ふきん1枚（食器拭きよう）,3,,FALSE,100,,,70,
28,使い捨て木製フォーク　15.5cm　バラ,1,,FALSE,100,,,70,
29,使い捨て木製スプーン162MM ﾊﾞﾗ(100本),1,,FALSE,100,,,70,
30,ﾄｲﾚｯﾄﾍﾟｰﾊﾟｰ ﾀﾞﾌﾞﾙ 12R×８袋,8,,FALSE,100,,,70,
31,流せるトイレクリーナー２４枚入り,10,,FALSE,100,,,70,
32,ﾄｲﾚﾏｼﾞｯｸﾘﾝ消臭洗浄ｽﾌﾟﾚｰ4.5L,2,,FALSE,100,,,70,
33,トイレの消臭力スプレーアクアソープＶ３,4,,FALSE,100,,,70,
34,抗菌ｶﾗｰたわしｲｴﾛｰ10個(ｽﾎﾟﾝｼﾞ),1,,FALSE,100,,,70,
35,抗菌ｶﾗｰたわしﾌﾞﾙｰ10個(ｽﾎﾟﾝｼﾞ),1,,FALSE,100,,,70,
36,CCマイクロファイバークロス　5枚入（テラス拭くよう）,5,,FALSE,100,,,70,
37,4つ折りナフキン未晒,1,,FALSE,100,,,70,
38,カップスリーブ　無地　（SML共通）,1,,FALSE,100,,,70,
39,ﾌﾚｯｸｽｽﾄﾛｰ黒　裸6ΦX210mm 500本,5,,FALSE,100,,,70,
40,ｽﾄﾚｰﾄｽﾄﾛｰ黒　裸8φX210MM 300本,2,,FALSE,100,,,70,
41,ウッドマドラー　16cm　200本入,1,,FALSE,100,,,70,
42,レジロール58X80X紙管巾12mm 5巻入,5,,FALSE,100,,,70,
43,長傘専用かさ袋200枚入（傘ぽん専用）,3,,FALSE,100,,,70,
44,クリーンカツプ　６０ＢＬ本体100個入,8,,FALSE,100,,,70,
45,クリーンカツプ　６０ＴＣＬ　100個入,3,,FALSE,100,,,70,
46,角底袋　白　無地　15×9×28cm,8,,FALSE,100,,,70,
47,ﾌﾟﾗｶｯﾌﾟ平蓋　Ｘ穴L-96X,5,,FALSE,100,,,70,
48,Ｄカップホルダー　４個用,1,,FALSE,100,,,70,
49,おしぼり　平185*203MM,3,,FALSE,100,,,70,
50,ﾆｭｰﾌﾟﾛﾏｯｸｽプラカップ Sｻｲｽﾞ(BIP362D),15,,FALSE,100,,,70,
51,食材管理シール30X54MM (2500枚／袋),1,,FALSE,100,,,70,
52,ハイパワーガスKC-860(ﾊﾟﾜｰﾄｰﾁ代替品）,3,,FALSE,100,,,70,
53,ｸﾗﾌﾄ無地厚手ﾜｯｸｽﾍﾟｰﾊﾟｰ22X30CM 250枚,15,,FALSE,100,,,70,
54,新JSバーガー袋（BITE INTO IT),1,,FALSE,100,,,70,
55,ＪＳ　バーガーＢＯＸ　本体 １００枚,1,,FALSE,100,,,70,
56,ＪＳ　バーガーＢＯＸ　仕切り500枚,1,,FALSE,100,,,70,
57,ドッグスリーブ　無地（１００枚入）,1,,FALSE,100,,,70,
58,フォーク＃１６０　黒　バラ500本入,5,,FALSE,100,,,70,
59,ナイフ＃１６０　黒　バラ　500本入,3,,FALSE,100,,,70,
60,JSB未晒ショッパー 240X140XH300MM 200ﾏｲ,1,,FALSE,100,,,70,
61,アクシャルニュースター液体ＮＲ２５ｋｇ,1,,FALSE,100,,,70,
62,ｸﾘｰﾝ&ｸﾘｰﾝ X7薬用ﾊﾝﾄﾞｳｫｯｼｭ 4.5L,1,,FALSE,100,,,70,
63,バイオガード中性洗剤　５Ｌ,2,,FALSE,100,,,70,
64,バイオガード除菌コート剤　５Ｌ,2,,FALSE,100,,,70,
65,かんたん汚物処理キット,1,,FALSE,100,,,70,
66,花王パワークリーナー　４．５Ｌ,2,,FALSE,100,,,70,
67,除菌・漂白剤　ＫＢ６　４．５ｋｇ,2,,FALSE,100,,,70,
68,花王 グリドル用クリーナー２Ｌ,1,,FALSE,100,,,70,