"[商品コード]","[商品名]","[規格・入数／単位]","[取引先コード]","[取引先名]","[発注単位]","[09/01(予定)]","[09/01(発注済)]","[09/02(予定)]","[09/02(発注済)]","[09/03(予定)]","[09/03(発注済)]","[09/04(予定)]","[09/04(発注済)]","[09/05(予定)]","[09/05(発注済)]","[09/06(予定)]","[09/06(発注済)]","[09/07(予定)]","[09/07(発注済)]","[非表示商品]"
"005827","直ﾔﾃﾞﾘｶ サニーレタス 約240g/束","約240g／束","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","束","","10","","5","","10","","","","20","","","","20",""
"006924","直）ヤ）デリカ　生姜国産　約１００ｇ／パック","約100g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","3","","2","","","","","","","","",""
"005860","直ﾔﾃﾞﾘｶ トレビス 約280g/個","約280g／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","6","","6","","10","","15","","10","","10","","",""
"005846","直ﾔﾃﾞﾘｶ 胡瓜 約1kg/パック","約1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","","","1","","","","","","","","",""
"005878","直ﾔﾃﾞﾘｶ トマト Lサイズ/ケース","Lサイズ／ケース","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","C/S","","3","","3","","3","","3","","8","","5","","3",""
"008128","直）ヤ）デリカ　ピーマン　１３０ｇパック","130g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","","","","","","","","","","","5",""
"005886","直ﾔﾃﾞﾘｶ 赤パプリカ 約120g/個","約120g／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","","","4","","","","","","","","4","","",""
"005889","直ﾔﾃﾞﾘｶ 黄パプリカ 約120g/個","約120g/個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","","","","","8","","","","6","","5","","",""
"008292","直）ヤ）デリカ　レタスリーフ　１ｋｇ","約1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日Ｄ２【Ｆ】","PC","","8","","6","","","","6","","6","","15","","10",""
"008212","直）ヤ）デリカ　ムキたまねぎ国産　約１ｋｇ／パック","約1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","2","","2","","","","","","2","","","","2",""
"005906","直ﾔﾃﾞﾘｶ レッドオニオン 約180g/個","約180g/個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","","","2","","","","","","","","","","",""
"005890","直ﾔﾃﾞﾘｶ むきにんにく中国産 約1kg/パック","約1kg/パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","","","","","","","","","1","","",""
"008202","直）ヤ）デリカ　ブラウンマッシュルーム　約１００ｇ／パック","約100g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","10","","","","10","","20","","10","","10",""
"005855","直ﾔﾃﾞﾘｶ エリンギ 約100g/パック","約100g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","10","","","","5","","20","","10","","10",""
"005876","直ﾔﾃﾞﾘｶ レモン 165玉10個/パック","10個／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","3","","2","","2","","","","2","","",""
"005869","直ﾔﾃﾞﾘｶ ライム 48玉サイズ/個","48玉サイズ／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","3","","","","15","","","","","","8","","",""
"005905","直ﾔﾃﾞﾘｶ 大葉 100枚/束","100枚/パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","","","","","","","","","","","",""
"006918","直）ヤ）デリカ　パクチー　約１００ｇ／束","約100g／束","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","束","","2","","2","","1","","","","2","","","","2",""
"005903","直ﾔﾃﾞﾘｶ アボカド 24玉/ケース","24玉/ケース","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","C/S","","3","","1","","1","","","","2","","2","","2",""
"005424","Ｃ玉子Ｍサイズ　パック","10個／pc","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","8","","3","","3","","3","","3","","5","","15",""
"009519","Ｃ）アルチザンスモークスライス　３９０ｇ／パック","390g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","","","","","","","","","","","10",""
"009470","Ｃ）ＵＳＡレッドチェダースライスＦ８５５ｇ　１９ｇ／枚×４５／パック","19g／枚×45／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","15","","5","","5","","10","","10","","10","","20",""
"007457","直）ナカザワ　Ｍｅｒａクリームチーズ","1．35kg／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","4","","","","","","","","",""
"009179","Ｃ）　ロルフ　カマンベールチーズ（デンマーク産）　１２５ｇ","125g／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","","","","","","","24","","","","","","24",""
"000885","直中沢ゴーダ　スライス","1kg／袋・1／袋","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","袋","","","","","","4","","","","","","","","",""
"008006","Ｃ）　明治ブルガリアヨーグルトＬＢ８１プレーンシェフクリエ　４００ｇ","400g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","10","","","","","","5","","5","","","","4",""
"001609","D）北乳 コンデンスミルク  チューブ入 １ｋｇ","1kg・1／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","","","","","",""
"000226","D）ミツカン アップルビネガー 1L","1L／本・1／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","","","","","",""
"000381","D）ｺﾗｳﾞｨｰﾀ バルサミコ酢 500ML","500ml／本・1／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","1","","","","","","","","","","",""
"009100","Ｄ）ハインツ　てりやきソース　１２３０ｇ","1230g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","5","","","","","","","","","","",""
"009096","Ｃ）ケンコー　　クリーミーシャンピニオンソース　５３５ｇ","535g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","4","","","","","","","","","","",""
"000168","D）ｽﾘｰｼｴﾌ  トムヤムペースト 454G","454g／本・1／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","1","","","","","","","","","","",""
"007452","Ｄ）　ＱＰ　シーザーサラダドレッシング　１Ｌ","1L／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","3","","","","",""
"007940","Ｄ）　ＣＪジャパン　コチュジャン１ｋｇ","1kg／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","1","","","","1","","","","","","","","",""
"008036","Ｄ）　スキッピー　ピーナッツバターチャンク　３４０ｇ","340g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","","","","","",""
"000253","C）明治 無塩パーチバター 450G","450g／個","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","個","","2","","2","","","","","","","","","","",""
"001579","D）ポッカ パルプリッチレモン 1L","1L／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","3","","","","","","","","","","",""
"008262","直）ヤ）デリカ　大葉　１０枚／束","10枚／束","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","缶","","","","","","","","","","","","","","",""
"006854","Ｄ）マルサンアイ　純正こうじ味噌　７５０Ｇ","750g／パック","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","PC","","","","4","","","","","","","","","","",""
"009045","Ｄ）サカイ　マイルドブラウンマスタード１ｋｇ","1kg／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","","","","","","","","","","","",""
"007275","Ｃ）　燦宝夢　ねりからし　３５０ｇ","350g／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","1","","","","","","","","","","",""
"008023","直）ヤ）デリカ　レッドキャベツ８ｍｍ千切り１ｋｇ","1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日Ｄ２【Ｆ】","PC","","3","","3","","","","","","5","","5","","5",""
"008022","直）ヤ）デリカ　国産オニオンスライス８ｍｍ　１Ｋｇ","1kg／パック","4000000172","伊藤忠「フレーバーワークス」３６５日Ｄ２【Ｆ】","PC","","20","","8","","","","8","","8","","12","","20",""
"000046","D）カゴメ トマトピューレー  650G","650g／本・1／本","4000000172","伊藤忠「フレーバーワークス」３６５日【Ａ】","本","","","","2","","","","","","","","","","",""
